seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
25,Jackson,Luna,28,Umuro Terrace,Afazibu,GA,82675,$9679.17,RED,01/22/2015
26,Lela,Perry,49,Gaolu River,Kijdame,NE,77471,$9041.87,BLUE,03/13/2068
27,Calvin,Jacobs,63,Furre Drive,Nafvavaw,PA,57987,$2178.26,YELLOW,04/07/2048
28,Marc,Barber,39,Egotar Manor,Mijegpu,NM,39052,$2080.73,GREEN,10/13/2013
29,Ruby,Schmidt,53,Tarez Park,Amififac,IA,59314,$1765.06,GREEN,07/22/2049
30,Duane,Morales,26,Gilhu Path,Histiaw,MN,51496,$2519.84,RED,10/20/1969
31,Frank,Robertson,28,Sujo Plaza,Jukrugus,IL,65261,$6347.78,RED,10/02/1924
32,Leila,McCarthy,51,Tilhu Key,Metiihu,WY,49457,$6740.48,WHITE,02/08/1962
33,Dennis,Reid,49,Aprov Street,Voebmu,MA,20076,$5958.71,YELLOW,02/04/1937
34,Eliza,Marsh,51,Josvu Grove,Faureuc,MD,39286,$334.49,WHITE,01/01/2012
35,Harvey,Brooks,23,Lame Center,Fepalodu,MO,15378,$6311.20,WHITE,05/29/2044
36,Todd,Keller,34,Zojri Turnpike,Cidacodid,VT,92867,$3456.24,RED,07/20/1949
37,Gary,Tate,44,Dahtes Turnpike,Rufuwjug,KS,11968,$9455.54,GREEN,08/27/2037
38,Evan,Washington,18,Woris Boulevard,Lajnicap,NY,79961,$9753.44,YELLOW,12/17/2062
39,Amelia,Alvarado,33,Pevo Boulevard,Tisitjow,MO,73111,$4561.60,WHITE,06/24/2001
40,Abbie,Roberson,26,Wuho Heights,Zurufet,DC,09087,$6926.26,GREEN,12/19/1957
41,Bryan,Murphy,58,Rokji View,Mubowe,IA,59281,$7888.83,GREEN,05/07/2022
42,Jennie,Barnes,53,Wedbi Turnpike,Vegidfod,OR,38818,$6881.07,GREEN,09/27/2033
43,Joe,Burns,63,Fivcu Terrace,Rekmehlo,DE,36303,$4098.04,WHITE,12/11/2014
44,Franklin,Martin,22,Jioh Drive,Tosedca,AR,24609,$4054.63,WHITE,08/10/2041
45,Allie,Ferguson,53,Jeri Path,Pejmazap,DC,73343,$2397.01,BLUE,04/19/2018
46,Nancy,Stanley,32,Bawo Avenue,Giruso,MA,34428,$183.74,BLUE,11/04/1910
47,Steve,Becker,39,Vojef Avenue,Wawfavob,GA,99032,$8034.95,RED,09/13/1925
48,Ann,George,28,Dimtum Heights,Javohmu,CT,81722,$4985.89,WHITE,09/23/1936
49,Jerome,Wong,21,Zicele Lane,Koumno,FL,30759,$4856.09,GREEN,10/17/2043
50,Oscar,Coleman,42,Kahfu Boulevard,Kijuzede,NE,73101,$3168.37,GREEN,01/07/2037
51,Ola,Valdez,59,Kugwe Junction,Iwgafpaw,OK,47634,$2214.14,WHITE,01/16/2043
52,Mario,Perkins,57,Lelud Park,Dopuza,NV,56056,$4877.94,BLUE,09/14/1915
53,Viola,Glover,24,Cuhma Parkway,Fuwuksu,VA,49546,$430.70,WHITE,12/07/2005
54,Gerald,Fletcher,56,Kidus Grove,Belwico,AR,61908,$6922.52,YELLOW,12/18/2003
55,Lucile,Ingram,59,Mukeg Pass,Izabain,NC,51976,$4542.28,RED,05/30/2066
56,Lulu,Banks,37,Oludel Park,Hedregwus,DE,34802,$3116.34,YELLOW,02/03/1911
57,Clifford,Butler,25,Beri Path,Osodefsov,KY,23469,$1606.28,WHITE,11/04/2009
58,Catherine,Gross,65,Vosga Terrace,Risahuj,NV,55755,$2314.43,WHITE,07/17/1927
59,Brett,Riley,33,Hetota Way,Sozanso,NM,83599,$6245.51,YELLOW,11/16/2027
60,Marguerite,Carroll,54,Madce Street,Vawhemun,DC,50297,$5056.39,BLUE,08/21/1907
61,Gussie,Coleman,25,Hozo Center,Miotefi,OH,53088,$8257.69,GREEN,01/25/2070
62,Nathaniel,Sims,41,Levizu Loop,Rizjuffoj,IA,33682,$1793.55,WHITE,10/08/1980
63,Eric,Webb,59,Ubugum Drive,Gelkesec,WA,95084,$9472.94,GREEN,06/02/1964
64,Jonathan,Silva,51,Liwgec Heights,Zupavpid,IL,45743,$9014.85,RED,06/07/2048
65,Joshua,Hall,51,Fawaz Path,Cuvtulo,GA,02909,$6321.15,RED,10/15/1950
66,Derek,Obrien,64,Birnuw Pass,Buujaoji,VT,63476,$8490.67,RED,01/24/2047
67,Allie,Grant,39,Vilzol View,Pelpefur,AR,28835,$4756.14,BLUE,09/14/1946
68,Callie,Underwood,26,Titzin View,Vugtudul,MO,11880,$5871.74,WHITE,07/22/2020
69,Carolyn,Hernandez,64,Legro Pass,Mehsakvir,CO,64656,$4796.19,RED,10/06/2031
70,Bradley,Nash,53,Memu Glen,Gekubdo,CA,07987,$3468.28,YELLOW,02/08/2022
71,Cody,Adkins,40,Lihhu Lane,Adikifuw,PA,56939,$1521.12,WHITE,01/11/2017
72,Todd,Bush,58,Jeac Point,Doliwope,KS,71002,$5361.01,WHITE,01/25/1927
73,Ophelia,Snyder,61,Imru Way,Inamitdis,WA,79573,$7468.81,GREEN,12/09/1964
74,Adelaide,Santos,36,Huwif River,Egidecaw,MI,29338,$4429.44,GREEN,01/31/2003
75,Cynthia,Underwood,62,Neme Way,Luljekam,MT,79384,$521.20,GREEN,03/05/1967
76,Andre,Cobb,37,Giip Pass,Vuvcuacu,SC,36019,$2276.73,BLUE,02/10/1921
77,Clarence,Wallace,42,Epawe Court,Gowvoupi,CT,56754,$6117.21,RED,12/18/2049
78,Ethel,Ray,32,Bupe Lane,Nitogene,ME,55287,$8694.33,BLUE,02/27/2047
79,Howard,Scott,19,Delo Parkway,Dengapa,AZ,87818,$6731.66,WHITE,03/07/2054
80,Ollie,Howard,42,Lihne Terrace,Vensopud,NC,65394,$9118.65,RED,09/05/1996
81,Arthur,Blair,32,Nugam Point,Letzoddus,KY,41028,$300.93,RED,01/15/2029
82,Kate,Ortega,56,Doza Heights,Dulbikgen,ME,72209,$9088.85,GREEN,03/12/1998
83,Maude,Guzman,28,Dovgo Turnpike,Ruhogaf,ME,70768,$8943.98,WHITE,09/13/1926
84,Lily,Hawkins,26,Hokudo Grove,Jagbefkih,PA,80739,$88.17,BLUE,06/23/1955
85,Ethel,Shelton,44,Beca Key,Bokfino,OH,23411,$7032.84,GREEN,08/07/1919
86,Lucas,Woods,64,Tonlev Mill,Owweose,SD,53846,$9198.17,YELLOW,04/21/1905
87,Lilly,Perez,27,Nuhe Highway,Ahwedri,NE,08271,$6431.45,GREEN,07/10/1948
88,Estella,Day,65,Kotja View,Rimbusal,MO,34363,$7526.50,BLUE,04/07/2062
89,Virgie,Burke,18,Toeno Glen,Kejkufib,NH,30515,$4707.33,RED,06/02/1922
90,Birdie,Parks,46,Luhi Boulevard,Azluvih,FL,28157,$4350.96,WHITE,03/24/1981
91,Allen,Brown,22,Dozew Trail,Wacijo,NM,86182,$4426.44,RED,09/01/1937
92,Rose,Dennis,39,Lagew Parkway,Odrurva,DC,41539,$8560.90,RED,10/30/2056
93,Maud,Simmons,30,Zovjeg Center,Bakigi,VT,93801,$2242.35,YELLOW,05/21/1968
94,Violet,Underwood,30,Saewo Loop,Iklotat,DC,92232,$1413.84,GREEN,12/21/1968
95,Matilda,Larson,58,Celej Parkway,Zuzoira,NJ,44558,$6553.47,RED,02/14/2006
96,Jason,Hunter,55,Rubjag Street,Bipuckaw,SD,49634,$4169.86,YELLOW,02/19/2012
97,Kenneth,Owens,29,Pahziw Turnpike,Pudupruf,LA,28132,$4524.95,GREEN,08/01/1901
98,Mason,Black,21,Jirgog Highway,Esuutdav,VT,86750,$9000.85,GREEN,06/28/2034
99,Robert,Hopkins,59,Toow Center,Gimmajnam,KY,63910,$7958.37,GREEN,11/28/1998
100,Victoria,Doyle,47,Lihanu Loop,Viviuz,WI,72423,$5121.06,GREEN,11/15/2002
